district,state,flood_event_count,avg_flood_duration,max_flood_duration,median_flood_duration,std_flood_duration,total_area_affected,avg_area_affected,total_human_fatalities,total_human_injuries,total_human_displaced,total_animal_fatalities,severe_event_count,percent_flooded_area,permanent_water,corrected_percent_flooded_area,population,impact_mean_flood_duration,impact_human_fatalities,impact_human_injuries,dfsi,risk_class
Kapurthala,PUNJAB,36,5.472222222222222,38.0,2.0,8.12223090786238,0.0,,663.0,11.0,0.0,6751.0,0.0,3.634049856,0.260845183,3.373204673,865875.0,6.0,85.0,2.0,14.437077915657298,High
Sikar,RAJASTHAN,16,4.4375,14.0,4.5,3.4635001563928554,0.0,,941.0,39.0,0.0,200890.0,0.0,0.420855874,0.0,0.420855874,3026385.0,6.0,87.0,2.0,14.433744535144232,High
Bathinda,PUNJAB,38,6.2894736842105265,38.0,2.5,8.794678657488172,0.0,,179.0,24.0,0.0,673.0,0.0,4.083232034,0.018454025,4.064778009,1697487.0,7.0,24.0,5.0,14.432439103601508,High
Sirohi,RAJASTHAN,18,24.22222222222222,365.0,3.5,85.09963403222308,0.0,,700.0,47.0,0.0,75050.0,0.0,0.276456745,0.023800256,0.252656489,1264133.0,22.0,71.0,6.0,14.414967587255116,High
Ambala,HARYANA,29,4.068965517241379,21.0,2.0,4.8397980660557565,0.0,,206.0,27.0,0.0,567.0,0.0,4.251029067,0.0,4.251029067,1296203.0,5.0,36.0,11.0,14.403936732301004,High
Biswanath,ASSAM,82,9.707317073170731,93.0,1.0,16.027359174104575,0.0,,1501.0,49.0,0.0,10723745.0,0.0,5.175865068,2.020191719,3.155673349,666698.0,10.0,56.0,1.0,14.377846930502969,High
Ambedkar Nagar,UTTAR PRADESH,19,9.421052631578947,89.0,1.0,20.448623396952893,0.0,,1702.0,0.0,0.0,3950.0,0.0,3.80490503,0.342207082,3.462697948,2918048.0,22.0,44.0,0.0,14.34664676935026,High
Hoshiarpur,PUNJAB,37,5.945945945945946,38.0,3.0,7.894956005598153,0.0,,639.0,12.0,0.0,6790.0,0.0,1.124097105,0.108432652,1.015664453,1743086.0,7.0,77.0,1.0,14.345076149771591,High
Mau,UTTAR PRADESH,16,11.4375,89.0,2.0,21.860066331097897,0.0,,1781.0,0.0,0.0,4033.0,0.0,4.820667589,0.274573764,4.546093825,2493398.0,24.0,50.0,0.0,14.344909064687036,High
Adilabad,TELANGANA,4,3.75,7.0,3.5,2.5,0.0,,9.0,0.0,0.0,91.0,0.0,1.209758847,0.22104424,0.988714607,802880.0,8.0,174.0,0.0,14.340837653964073,High
Chengalpattu,TAMIL NADU,13,9.0,23.0,7.0,6.892024376045112,0.0,,706.0,156.0,0.0,2816.0,0.0,4.817890104,2.065380723,2.752509381,3240797.0,10.0,36.0,4.0,14.338825559345638,High
Chirang,ASSAM,90,8.833333333333334,93.0,1.0,15.247213781208933,0.0,,1518.0,49.0,1.0,10664861.0,0.0,2.875769392,0.021873585,2.853895807,616102.0,9.0,56.0,1.0,14.327177071038736,High
Dhaulpur,RAJASTHAN,0,,,,,,,,,,,,3.16604113,0.385474633,2.780566497,1501877.0,21.0,62.0,0.0,14.322869345442635,High
Gir Somnath,GUJARAT,32,19.96875,122.0,7.0,29.25801172328701,0.0,,1305.0,68.0,0.0,26929.0,0.0,0.779801587,0.532788711,0.247012876,1353212.0,20.0,62.0,5.0,14.319257269450071,High
Y.S.R.,ANDHRA PRADESH,20,9.3,31.0,6.5,10.047780587614467,0.0,,1024.0,6.0,11.0,27653.0,0.0,1.141752714,1.095797136,0.045955578,3162142.0,9.0,144.0,1.0,14.315856218355387,High
Porbandar,GUJARAT,27,12.407407407407407,37.0,7.0,12.061570440099477,0.0,,952.0,19.0,2.0,10966.0,0.0,5.378579118,0.51266173,4.865917388,660431.0,12.0,49.0,2.0,14.31098938483066,High
Badgam,JAMMU & KASHMIR,0,,,,,,,,,,,,3.988476641,0.182326085,3.806150556,992328.0,6.0,51.0,11.0,14.282593564658416,High
Indore,MADHYA PRADESH,29,3.9310344827586206,17.0,2.0,4.308886452791973,0.0,,212.0,12.0,0.0,2151.0,0.0,0.351694942,0.088367293,0.263327649,4193901.0,5.0,57.0,6.0,14.276474793430763,High
Latur,MAHARASHTRA,41,3.4390243902439024,10.0,2.0,2.8552476292591935,0.0,,687.0,73.0,0.0,2344.0,0.0,0.559348532,0.350302784,0.209045748,2795413.0,4.0,54.0,6.0,14.271939876754926,High
Rajouri,JAMMU & KASHMIR,13,1.0769230769230769,2.0,1.0,0.27735009811261463,0.0,,11.0,7.0,0.0,147.0,0.0,0.301855404,0.017946919,0.283908485,659577.0,4.0,109.0,18.0,14.26711792280496,High
Mahrajganj,UTTAR PRADESH,13,14.461538461538462,89.0,7.0,23.757859698127216,0.0,,1674.0,0.0,0.0,4032.0,0.0,3.336576576,0.082956237,3.253620339,3375140.0,27.0,36.0,0.0,14.2467026717813,High
Udhampur,JAMMU & KASHMIR,9,1.0,1.0,1.0,0.0,0.0,,11.0,8.0,1.0,36.0,0.0,0.487802833,0.013526323,0.47427651,695644.0,5.0,121.0,8.0,14.21953874401665,High
West Siang,ARUNACHAL PRADESH,23,7.217391304347826,62.0,5.0,12.727766788829454,0.0,,114.0,2031.0,0.0,21.0,0.0,0.744207577,0.123427923,0.620779654,48422.0,7.0,52.0,668.0,14.206931820531816,High
Sundargarh,ODISHA,15,16.933333333333334,31.0,16.0,11.119266848047818,0.0,,569.0,0.0,0.0,54049.0,0.0,2.122434122,0.304650931,1.817783191,2361775.0,33.0,28.0,0.0,14.201704186966252,High
Ranchi,JHARKHAND,19,2.8421052631578947,14.0,2.0,2.948882234465889,0.0,,156.0,11.0,0.0,33.0,0.0,0.833116849,0.368094084,0.465022765,3525357.0,5.0,45.0,6.0,14.197119998803474,High
Satara,MAHARASHTRA,48,2.8333333333333335,10.0,1.0,2.5123806912147395,0.0,,927.0,141.0,12.0,12516.0,0.0,0.886672906,0.88365251,0.003020396,3138971.0,3.0,108.0,67.0,14.196438317671806,High
The Dangs,GUJARAT,1,1.0,1.0,1.0,,0.0,,7.0,0.0,0.0,0.0,0.0,2.171927273,0.007193835,2.164733438,274863.0,24.0,68.0,4.0,14.193027581514269,High
Sangrur,PUNJAB,28,6.285714285714286,38.0,2.0,9.423599779502142,0.0,,434.0,12.0,0.0,6515.0,0.0,2.448919322,0.0,2.448919322,1835441.0,7.0,44.0,1.0,14.183626924681889,High
The Nilgiris,TAMIL NADU,27,6.37037037037037,16.0,6.0,5.122710731845516,0.0,,1150.0,234.0,0.0,3948.0,0.0,0.41168295,0.339577292,0.072105658,708881.0,6.0,156.0,23.0,14.181521521398048,High
Nainital,UTTARAKHAND,8,1.625,4.0,1.0,1.0606601717798212,0.0,,136.0,17.0,5.0,25.0,0.0,0.775389314,0.026065252,0.749324062,1104668.0,3.0,91.0,6.0,14.17404358957349,High
Paschim Bardhaman,WEST BENGAL,0,,,,,,,,,,,,2.156244683,0.422563785,1.733680898,3727296.0,13.0,117.0,0.0,14.167484802131147,High
